"topic","gamma","terms"
"Topic 29",0.0147524912852071,"maps, earth, google, use, using, product, waze"
"Topic 121",0.0123028745707308,"well, yeah, lol, oh, come, shit, true"
"Topic 15",0.0117619466843148,"google, crazy, flat, leaving, used, shows, building"
"Topic 52",0.011068608210997,"like, something, one, happy, every, day, maybe"
"Topic 127",0.0103261838757184,"can, see, comment, zoom, anything, title, even"
"Topic 87",0.00995588078673508,"phone, use, battery, number, using, waze, call"
"Topic 54",0.00944457327700086,"thanks, keep, sharing, content, location, drive, now"
"Topic 195",0.00848397284606495,"just, trip, time, complete, traveling, another, long"
"Topic 9",0.0083085096972148,"think, say, guess, sense, difference, now, lot"
"Topic 47",0.00825850281573124,"know, idea, better, job, luck, op, getting"
"Topic 96",0.00824978541415108,"see, tell, specific, ask, confirm, get, request"
"Topic 90",0.00820112279255092,"try, give, reason, everyone, i’ll, shot, thanks"
"Topic 44",0.00808542777328527,"sure, mean, soon, reported, quickly, helps, man"
"Topic 34",0.00801732392842066,"much, ok, worked, kind, u, helpful, looking"
"Topic 174",0.00796745687596071,"link, photos, instead, delete, another, can, picture"
"Topic 179",0.0079523110529041,"app, probably, use, never, website, program, remember"
"Topic 118",0.00794009722480057,"i’m, name, states, it’s, hoping, wrong, guessing"
"Topic 1",0.00780292527949474,"seems, looks, look, sounds, something, just, zoom"
"Topic 93",0.00776377924667621,"route, along, faster, waze, planning, way, fastest"
"Topic 18",0.00768063723467142,"speed, limit, camera, current, cameras, limits, speedometer"
"Topic 92",0.00762275934400811,"really, feature, hey, wish, says, fucking, kinda"
"Topic 186",0.00745782115399558,"since, got, couple, posted, just, showed, ago"
"Topic 72",0.00739534783325163,"need, thank, reply, appreciate, much, thanks, quick"
"Topic 173",0.00734465708170848,"still, option, isn’t, display, map, it’s, doesn’t"
"Topic 62",0.00731973831144057,"location, map, us, share, please, can, files"
"Topic 184",0.0072667649559319,"click, settings, options, menu, commute, select, go"
"Topic 27",0.00725769779777631,"time, happens, every, set, arrival, real, minutes"
"Topic 69",0.00718079876358897,"someone, r, screenshot, reddit, links, mentioned, forums"
"Topic 156",0.00709943302421347,"way, actually, figure, travel, internet, manually, cars"
"Topic 24",0.00693549699380469,"updated, showing, mine, canada, waiting, work, working"
"Topic 124",0.00692002077190828,"right, correct, question, need, notification, get, detailed"
"Topic 143",0.00683082988609496,"want, user, back, get, switch, bring, comes"
"Topic 8",0.00681418311348399,"great, interesting, anyway, okay, suggestions, added, ah"
"Topic 168",0.00680612833914811,"yes, information, friend, every, late, simply, time"
"Topic 150",0.00676572946757022,"now, you’re, answer, get, bottom, building, corner"
"Topic 192",0.00671315654313827,"waze, voice, alerts, disabled, audio, settings, option"
"Topic 51",0.006656594125118,"report, button, submit, can, reporting, police, issue"
"Topic 21",0.00662126832833295,"removed, gone, buy, years, service, get, places"
"Topic 85",0.00661109428143746,"ios, support, issue, carplay, waze, iphone, ford"
"Topic 86",0.00657298326687952,"work, home, tried, type, timeline, card, get"
"Topic 20",0.00656944187497208,"android, auto, waze, phone, iphone, often, use"
"Topic 16",0.0065309643604207,"apple, google, new, indoor, use, maps, using"
"Topic 145",0.00652146664547432,"anyone, let, don’t, didn’t, fact, wanted, driver"
"Topic 175",0.00652141650060339,"first, made, said, second, looking, meant, signs"
"Topic 185",0.00649083058886688,"years, ago, even, months, basically, moved, lots"
"Topic 170",0.00625702011987244,"cool, really, wow, though, that’s, thanks, just"
"Topic 134",0.00623795915894814,"last, maybe, next, happened, recent, hell, just"
"Topic 197",0.00623587720194352,"one, change, start, making, english, fun, wrong"
"Topic 108",0.00619469522255959,"it’s, car, reports, quality, guy, step, just"
"Topic 183",0.0061836800453321,"directions, driving, walking, turn, giving, get, transit"
"Topic 155",0.00618326352364492,"view, street, names, onto, google, get, building"
"Topic 83",0.00613747241025072,"seen, never, happen, heard, i’ve, clearly, somehow"
"Topic 88",0.00607588001421889,"nice, able, easy, anywhere, expect, opening, easily"
"Topic 57",0.00606297817347767,"update, week, year, weeks, waze, yep, obvious"
"Topic 140",0.00604886263681028,"nothing, seeing, available, least, anybody, seriously, online"
"Topic 56",0.00603715437013519,"many, definitely, hours, wonder, questions, ways, views"
"Topic 146",0.00591387435190486,"road, editor, map, closed, editors, closure, routing"
"Topic 68",0.00585550391991779,"find, hear, news, haha, needed, details, one"
"Topic 60",0.00585112690546623,"go, back, want, away, copy, way, work"
"Topic 45",0.00583476319023906,"lot, house, parking, high, large, land, several"
"Topic 64",0.00582816975974666,"account, either, old, page, log, logged, new"
"Topic 119",0.00576853830093758,"times, thing, gets, lines, yesterday, line, cross"
"Topic 99",0.00567043888713588,"data, maps, api, information, tomtom, map, save"
"Topic 117",0.00566988586593835,"good, bad, means, ever, get, know, battery"
"Topic 79",0.00564656953563866,"fix, fixed, bug, real, known, issue, working"
"Topic 38",0.00562954218899791,"routes, route, traffic, waze, minutes, minute, alternate"
"Topic 111",0.00562370685502642,"trying, bit, came, sign, even, say, can’t"
"Topic 82",0.00559585712341558,"always, completely, similar, thought, look, saying, cops"
"Topic 137",0.00558233311865124,"search, results, map, marker, name, nearby, click"
"Topic 25",0.00545031835918097,"post, rather, almost, comments, community, posting, created"
"Topic 128",0.00542503878138721,"around, take, damn, drive, got, town, thought"
"Topic 142",0.00532290823915284,"using, iphone, android, version, running, x, pro"
"Topic 141",0.00530649272242398,"end, drivers, red, reports, ahead, police, something"
"Topic 172",0.00527486830080643,"also, quite, super, appears, issue, anymore, buildings"
"Topic 153",0.00524538197148982,"enough, likely, whole, unless, water, like, food"
"Topic 48",0.00524167247449905,"side, far, one, small, west, server, north"
"Topic 103",0.00522556849573267,"mobile, desktop, web, chrome, google, computer, app"
"Topic 136",0.00522253873430713,"app, settings, turned, notifications, reset, phone, network"
"Topic 74",0.00521976336217519,"mode, navigation, changes, light, dark, power, saving"
"Topic 193",0.00520443984724104,"area, hopefully, north, east, south, going, line"
"Topic 17",0.00519415144079887,"problem, issue, middle, samsung, waze, phone, tried"
"Topic 116",0.0051758178581082,"country, across, close, common, countries, without, city"
"Topic 180",0.00516422815526701,"free, month, takes, per, multiple, pay, day"
"Topic 147",0.00512841588242508,"gps, data, wifi, apps, maps, service, position"
"Topic 149",0.00500537089898054,"yet, shows, china, it'll, worth, hello, thinking"
"Topic 3",0.00499407476089226,"new, maps, old, map, ones, data, section"
"Topic 102",0.00493554930901015,"new, users, particular, located, look, area, mostly"
"Topic 78",0.00490784784460373,"edit, level, map, matter, reporting, editing, purpose"
"Topic 110",0.00487648042396946,"might, also, there’s, outside, blurred, inside, request"
"Topic 59",0.00485196126881586,"however, carplay, already, waze, use, usb, phone"
"Topic 190",0.00484129974551878,"place, photo, streetview, just, want, google, can"
"Topic 33",0.00477911614904902,"device, annoying, exact, pixel, frustrating, im, drives"
"Topic 26",0.00471829702015009,"make, makes, getting, just, now, something, generally"
"Topic 198",0.0047164666532865,"waze, gm, assistant, google, talk, support, forum"
"Topic 6",0.00470916504809399,"point, live, bot, person, wife, need, really"
"Topic 19",0.0046877047576678,"list, voice, download, turn, use, short, record"
"Topic 171",0.00465979931740163,"highway, lost, mapping, going, germany, eventually, get"
"Topic 152",0.00461229564232174,"exactly, move, called, past, supposed, obviously, marked"
"Topic 115",0.00456963050596737,"world, areas, problems, rest, finally, future, pass"
"Topic 187",0.00455625824022664,"add, stop, consider, waze, using, also, navigation"
"Topic 37",0.00454240532322304,"version, experience, beta, ios, cant, release, running"
"Topic 104",0.00446138597709884,"street, satellite, imagery, date, can, map, zoom"
"Topic 133",0.00445328564458832,"map, access, layer, way, kml, google, can"
"Topic 148",0.00444574115781226,"part, hit, nope, missed, issues, sound, it’s"
"Topic 94",0.00442623514774421,"address, business, due, received, email, enter, provide"
"Topic 163",0.00441135252960407,"fine, works, changing, working, hard, perfectly, just"
"Topic 91",0.00430403356377616,"people, deal, prefer, closed, used, easy, correct"
"Topic 70",0.00427414177494006,"weird, goes, happening, sucks, android, issue, version"
"Topic 67",0.00423638703650115,"possible, coming, like, together, three, feet, stay"
"Topic 120",0.00422130864023657,"help, else, explain, mark, know, someone, say"
"Topic 188",0.00422120235186826,"put, check, understand, video, can, see, just"
"Topic 36",0.00421924110954732,"data, cache, force, app, usage, delay, connection"
"Topic 199",0.00418400723947304,"must, simple, top, privacy, funny, literally, interested"
"Topic 43",0.00417920165159306,"wait, agree, sort, choose, needs, edits, poor"
"Topic 100",0.00415962481333187,"help, awesome, contact, know, hate, advance, appreciated"
"Topic 23",0.0041532051701107,"info, remove, mile, pm, message, subreddit, information"
"Topic 75",0.00414492864051593,"car, play, waze, volume, phone, bluetooth, radio"
"Topic 95",0.00410201232681253,"miles, speed, drive, numbers, h, alert, driving"
"Topic 14",0.00407393625653709,"actual, sorry, normal, sometimes, icons, design, poi"
"Topic 122",0.00403683639712988,"half, believe, destination, aware, gmaps, home, learn"
"Topic 105",0.00402183357709533,"used, local, away, become, go, confused, just"
"Topic 55",0.00401629132995207,"works, day, low, active, feature, bridge, waze"
"Topic 126",0.00400211932897887,"done, time, traffic, input, use, higher, rather"
"Topic 191",0.00396556987650178,"though, searching, imagine, bike, realize, road, see"
"Topic 165",0.00395924492342517,"found, issues, cause, waze, siri, saying, issue"
"Topic 177",0.00393607433258823,"noticed, i’ve, knew, never, get, change, got"
"Topic 159",0.00388680812942963,"app, store, installed, deleted, maps, use, re"
"Topic 50",0.00388295458793305,"left, turn, turns, hand, businesses, right, doesn’t"
"Topic 112",0.0038729514452223,"waze, music, run, spotify, playing, background, app"
"Topic 89",0.00385180823252002,"looked, like, glitch, plane, found, just, maybe"
"Topic 46",0.00383165250262424,"avoid, roads, toll, highways, difficult, tolls, road"
"Topic 53",0.00383147661868474,"taken, spot, white, text, black, visit, zoomed"
"Topic 164",0.00382362668955095,"big, appear, wrong, strange, chance, event, small"
"Topic 158",0.00380875584227458,"wondering, plus, code, trips, older, thing, ever"
"Topic 160",0.00378557709290038,"may, anything, suggest, test, gotten, worse, points"
"Topic 109",0.00377921074633475,"tap, map, screen, press, arrow, dot, turn"
"Topic 169",0.00377891086452143,"screen, compass, tells, navigating, profile, destination, waze"
"Topic 196",0.00377439322421006,"today, related, days, front, early, various, normally"
"Topic 73",0.00374349284032428,"case, unfortunately, pictures, asked, suggested, already, know"
"Topic 154",0.00373645547571678,"little, feel, huge, curious, limited, actually, seems"
"Topic 4",0.00369330077843465,"image, images, currently, direct, assuming, resolution, details"
"Topic 138",0.00368586880411447,"send, error, sent, reading, submitted, message, get"
"Topic 135",0.0036746445662983,"state, open, region, everywhere, just, number, believe"
"Topic 84",0.00367187550080744,"city, things, allowed, addresses, need, daily, get"
"Topic 167",0.00366801654867812,"cities, streets, especially, data, party, nav, maps"
"Topic 114",0.00365049589761147,"points, seconds, drop, total, get, google's, time"
"Topic 157",0.00362127956714176,"station, gas, train, shown, stations, listed, transit"
"Topic 76",0.00361795322290096,"pretty, hope, money, build, added, home, waze"
"Topic 5",0.00358987237500524,"locations, island, s, n, like, link, proper"
"Topic 125",0.00354944270645242,"less, perhaps, official, box, waze, suggestion, forum"
"Topic 178",0.00352723799416146,"features, notice, ads, platform, police, app, within"
"Topic 144",0.0035270954180981,"updates, stopped, function, center, started, lists, navigate"
"Topic 113",0.00350803981660665,"missing, something, pull, airport, don’t, can, see"
"Topic 139",0.00350125019218834,"traffic, adding, correctly, software, lights, turning, road"
"Topic 65",0.00348860988620872,"show, near, usa, just, share, example, least"
"Topic 71",0.00347367522853131,"maps, apple, watch, store, support, use, navigation"
"Topic 42",0.0034566384316855,"that’s, article, haven’t, situation, post, data, remember"
"Topic 2",0.00344360545255123,"long, coordinates, b, e, disable, location, actually"
"Topic 12",0.0034425121426139,"leave, incorrect, checked, use, ignore, stupid, opened"
"Topic 22",0.00343329535969188,"directly, i’d, told, team, glad, one, hard"
"Topic 132",0.0034140824583487,"two, possibly, based, drove, traffic, red, different"
"Topic 107",0.00340553483281283,"reviews, review, places, star, business, one, visited"
"Topic 161",0.00339983695596555,"saved, places, talking, honestly, map, personally, want"
"Topic 80",0.00338817209039893,"non, public, released, general, release, beta, transit"
"Topic 162",0.00329037471787211,"maps, google, waze, recently, switched, use, used"
"Topic 176",0.00326157973794385,"vehicle, useful, system, totally, can, see, go"
"Topic 41",0.00326146213994953,"history, location, services, depends, easier, best, better"
"Topic 189",0.003196473830979,"stops, bus, stop, route, transit, add, destination"
"Topic 49",0.00314122360146025,"via, course, slow, include, entry, gave, telling"
"Topic 63",0.0031318458780811,"etc, like, track, private, use, just, waze"
"Topic 35",0.00309834904151823,"lane, lanes, waze, turn, guidance, direction, traffic"
"Topic 13",0.00299493296613196,"somewhere, pin, going, restaurant, pins, field, location"
"Topic 129",0.00299169193667603,"different, source, image, map, probably, page, two"
"Topic 97",0.00297144426502738,"love, surprised, can, want, see, real, system"
"Topic 181",0.00296447807685835,"friends, facebook, waze, contacts, usually, connected, list"
"Topic 10",0.00295671679260779,"local, guide, language, improve, get, edits, editors"
"Topic 151",0.0029502442525773,"feedback, major, eta, url, can, get, email"
"Topic 7",0.00294487325795629,"solution, phones, galaxy, fixes, problem, also, always"
"Topic 106",0.00294073107236351,"allow, single, town, third, assume, data, every"
"Topic 98",0.00287712138707262,"road, previous, exist, behind, even, offline, roads"
"Topic 194",0.00287330906430241,"waze, get, work, carpool, constantly, app, feature"
"Topic 101",0.00284545410589498,"roads, toll, prices, regular, just, road, waze"
"Topic 39",0.00282604519974614,"others, result, uk, neighborhood, already, well, now"
"Topic 58",0.00282569373183985,"traffic, fuck, get, gives, maps, waze, use"
"Topic 40",0.00269886304957865,"life, notification, dont, time, can, work, telling"
"Topic 30",0.00262707128545899,"everything, yet, absolutely, shows, tried, use, waze"
"Topic 130",0.00262571978064819,"head, visible, broken, button, stuck, back, months"
"Topic 32",0.00262092228766096,"fast, road, miss, lock, get, time, exit"
"Topic 77",0.00261027938794097,"map, wazers, waze, requests, intersection, just, one"
"Topic 66",0.00260809429844502,"location, accurate, gps, accuracy, always, traffic, data"
"Topic 61",0.00254906081888596,"park, green, ride, want, know, just, people"
"Topic 31",0.00248473314384645,"read, follow, original, just, also, another, old"
"Topic 28",0.00242991778039038,"continue, waze, hazard, police, reports, minutes, traffic"
"Topic 166",0.002326372004885,"uses, folder, favorites, name, favorite, waze, data"
"Topic 81",0.00231331150686593,"base, bar, example, anyone, used, else, real"
"Topic 123",0.00218819537664391,"clear, following, data, browser, app, also, way"
"Topic 131",0.00217596162757673,"waze, lately, using, started, morning, issues, routing"
"Topic 182",0.00212604956071938,"hi, site, instead, maybe, link, another, way"
"Topic 11",0.00203304302579607,"straight, km, walk, distance, away, exit, find"
"Topic 200",0.00136723405029752,"california, just, back, see, new, already, can"
